Term of Loan in Years,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
02/10/2014,3.44,3.00,2.98,2.98,3.28,3.28,3.86,3.86,4.37,4.37,4.37,4.37,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29
02/17/2014,3.30,2.93,3.00,3.00,3.25,3.25,3.84,3.84,4.37,4.37,4.37,4.37,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34
02/24/2014,3.13,2.94,2.95,2.95,3.28,3.28,3.87,3.87,4.39,4.39,4.39,4.39,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39
03/03/2014,3.27,2.92,3.00,3.00,3.25,3.25,3.83,3.83,4.34,4.34,4.34,4.34,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43
03/10/2014,3.08,2.80,2.91,2.91,3.19,3.19,3.77,3.77,4.28,4.28,4.28,4.28,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34
03/17/2014,3.22,2.90,2.97,2.97,3.25,3.25,3.83,3.83,4.32,4.32,4.32,4.32,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42
03/24/2014,3.23,2.90,2.94,2.94,3.18,3.18,3.73,3.73,4.20,4.20,4.20,4.20,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37
03/31/2014,3.18,2.92,3.08,3.08,3.30,3.30,3.81,3.81,4.20,4.20,4.20,4.20,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45
04/07/2014,3.19,2.92,3.09,3.09,3.32,3.32,3.85,3.85,4.24,4.24,4.24,4.24,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47
04/14/2014,3.34,2.96,3.06,3.06,3.29,3.29,3.82,3.82,4.23,4.23,4.23,4.23,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40
04/21/2014,3.37,2.97,3.03,3.03,3.23,3.23,3.73,3.73,4.15,4.15,4.15,4.15,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33
04/28/2014,3.37,2.99,3.06,3.06,3.23,3.23,3.74,3.74,4.12,4.12,4.12,4.12,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38
05/05/2014,3.38,3.01,3.06,3.06,3.21,3.21,3.73,3.73,4.11,4.11,4.11,4.11,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35
05/12/2014,3.17,2.90,3.09,3.09,3.25,3.25,3.73,3.73,4.11,4.11,4.11,4.11,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26
05/19/2014,3.36,2.99,3.03,3.03,3.17,3.17,3.67,3.67,4.08,4.08,4.08,4.08,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25
05/26/2014,3.17,2.86,2.92,2.92,3.12,3.12,3.61,3.61,4.03,4.03,4.03,4.03,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19
06/02/2014,3.15,2.86,2.91,2.91,3.08,3.08,3.57,3.57,3.97,3.97,3.97,3.97,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17
06/09/2014,3.14,2.84,2.90,2.90,3.09,3.09,3.59,3.59,3.97,3.97,3.97,3.97,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18
06/16/2014,3.14,2.89,2.99,2.99,3.21,3.21,3.70,3.70,4.08,4.08,4.08,4.08,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25
06/23/2014,3.15,2.92,3.01,3.01,3.16,3.16,3.62,3.62,3.99,3.99,3.99,3.99,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22
06/30/2014,3.14,2.91,2.99,2.99,3.10,3.10,3.57,3.57,3.94,3.94,3.94,3.94,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18
07/07/2014,3.12,2.90,2.97,2.97,3.14,3.14,3.61,3.61,3.99,3.99,3.99,3.99,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16
07/14/2014,3.14,2.94,3.04,3.04,3.15,3.15,3.60,3.60,3.96,3.96,3.96,3.96,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21
07/21/2014,3.13,2.91,3.01,3.01,3.13,3.13,3.57,3.57,3.91,3.91,3.91,3.91,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18
07/28/2014,3.13,2.93,3.10,3.10,3.19,3.19,3.59,3.59,3.90,3.90,3.90,3.90,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18
08/04/2014,3.12,2.96,3.12,3.12,3.21,3.21,3.61,3.61,3.90,3.90,3.90,3.90,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17
08/11/2014,3.28,2.96,3.04,3.04,3.18,3.18,3.61,3.61,3.93,3.93,3.93,3.93,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20
08/18/2014,3.29,2.98,3.05,3.05,3.17,3.17,3.59,3.59,3.91,3.91,3.91,3.91,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17
08/25/2014,3.31,2.98,3.04,3.04,3.15,3.15,3.54,3.54,3.83,3.83,3.83,3.83,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14
09/01/2014,3.32,3.05,3.10,3.10,3.17,3.17,3.52,3.52,3.79,3.79,3.79,3.79,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14
09/08/2014,3.14,2.96,3.11,3.11,3.17,3.17,3.54,3.54,3.81,3.81,3.81,3.81,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14
09/15/2014,3.19,3.03,3.19,3.19,3.19,3.19,3.57,3.57,3.84,3.84,3.84,3.84,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16
09/22/2014,3.17,3.01,3.18,3.18,3.26,3.26,3.68,3.68,3.98,3.98,3.98,3.98,3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.44,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27
09/29/2014,3.17,3.04,3.20,3.20,3.28,3.28,3.68,3.68,3.95,3.95,3.95,3.95,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
10/06/2014,3.16,3.01,3.18,3.18,3.26,3.26,3.64,3.64,3.90,3.90,3.90,3.90,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22
10/13/2014,3.16,2.99,3.17,3.17,3.25,3.25,3.63,3.63,3.90,3.90,3.90,3.90,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16
10/20/2014,3.12,2.85,3.00,3.00,3.12,3.12,3.50,3.50,3.80,3.80,3.80,3.80,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01
10/27/2014,3.15,2.88,3.00,3.00,3.11,3.11,3.50,3.50,3.81,3.81,3.81,3.81,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96
11/03/2014,3.17,2.92,3.05,3.05,3.14,3.14,3.52,3.52,3.80,3.80,3.80,3.80,3.20,3.20,3.20,3.20,3.20,3.20,3.20,3.20,3.20,3.20,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02
11/10/2014,3.19,3.00,3.14,3.14,3.17,3.17,3.54,3.54,3.81,3.81,3.81,3.81,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06
11/17/2014,3.17,3.00,3.16,3.16,3.22,3.22,3.59,3.59,3.86,3.86,3.86,3.86,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05
11/24/2014,3.18,2.99,3.13,3.13,3.21,3.21,3.57,3.57,3.82,3.82,3.82,3.82,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03
12/01/2014,3.18,2.99,3.13,3.13,3.21,3.21,3.56,3.56,3.80,3.80,3.80,3.80,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01
12/08/2014,3.15,2.98,2.83,2.83,3.14,3.14,3.50,3.50,3.74,3.74,3.74,3.74,3.17,3.17,3.17,3.17,3.17,3.17,3.17,3.17,3.17,3.17,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93
12/15/2014,3.14,2.99,3.16,3.16,3.18,3.18,3.47,3.47,3.68,3.68,3.68,3.68,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97
12/22/2014,3.12,2.97,3.14,3.14,3.15,3.15,3.43,3.43,3.60,3.60,3.60,3.60,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85
12/29/2014,3.13,3.02,3.19,3.19,3.21,3.21,3.47,3.47,3.62,3.62,3.62,3.62,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88
01/05/2015,3.14,3.03,3.20,3.20,3.21,3.21,3.48,3.48,3.64,3.64,3.64,3.64,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92
01/12/2015,3.13,3.01,3.17,3.17,3.18,3.18,3.42,3.42,3.57,3.57,3.57,3.57,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78
01/19/2015,3.11,2.95,2.99,2.99,3.06,3.06,3.32,3.32,3.52,3.52,3.52,3.52,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71
01/26/2015,3.11,2.94,2.96,2.96,2.99,2.99,3.25,3.25,3.43,3.43,3.43,3.43,3.02,3.02,3.02,3.02,3.02,3.02,3.02,3.02,3.02,3.02,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69
02/02/2015,3.12,2.96,3.00,3.00,3.02,3.02,3.26,3.26,3.42,3.42,3.42,3.42,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71
02/09/2015,3.13,2.94,2.98,2.98,2.98,2.98,3.26,3.26,3.41,3.41,3.41,3.41,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65
02/16/2015,3.16,3.05,3.20,3.20,3.17,3.17,3.42,3.42,3.56,3.56,3.56,3.56,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74
02/23/2015,3.19,3.06,3.18,3.18,3.17,3.17,3.44,3.44,3.60,3.60,3.60,3.60,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81
03/02/2015,3.18,3.05,3.18,3.18,3.19,3.19,3.46,3.46,3.60,3.60,3.60,3.60,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85
03/09/2015,3.18,3.05,3.18,3.18,3.16,3.16,3.44,3.44,3.59,3.59,3.59,3.59,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80
03/16/2015,3.20,3.09,3.23,3.23,3.21,3.21,3.48,3.48,3.64,3.64,3.64,3.64,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91
03/23/2015,3.20,3.06,3.18,3.18,3.17,3.17,3.42,3.42,3.58,3.58,3.58,3.58,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83
03/30/2015,3.20,3.03,3.06,3.06,3.08,3.08,3.35,3.35,3.51,3.51,3.51,3.51,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74
04/06/2015,3.20,2.99,3.14,3.14,3.12,3.12,3.36,3.36,3.59,3.59,3.59,3.59,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75
04/13/2015,3.20,2.96,3.08,3.08,3.03,3.03,3.35,3.35,3.52,3.52,3.52,3.52,3.02,3.02,3.02,3.02,3.02,3.02,3.02,3.02,3.02,3.02,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71
04/20/2015,3.20,2.98,3.07,3.07,3.08,3.08,3.36,3.36,3.56,3.56,3.56,3.56,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73
04/27/2015,3.18,2.98,2.99,2.99,3.00,3.00,3.29,3.29,3.50,3.50,3.50,3.50,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70
05/04/2015,3.23,2.99,3.07,3.07,3.05,3.05,3.36,3.36,3.57,3.57,3.57,3.57,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73
05/11/2015,3.20,3.01,3.04,3.04,3.06,3.06,3.42,3.42,3.65,3.65,3.65,3.65,3.11,3.11,3.11,3.11,3.11,3.11,3.11,3.11,3.11,3.11,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85
05/18/2015,3.22,3.00,3.10,3.10,3.09,3.09,3.46,3.46,3.70,3.70,3.70,3.70,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90
