Edit #|Edit Details|Affected Data Fields
V702-1|Automated Underwriting System: 1; Automated Underwriting System: 2; Automated Underwriting System: 3; Automated Underwriting System: 4; or Automated Underwriting System: 5 was reported Code 5: Other. However, the Automated Underwriting System: Conditional Free Form Text Field for Code 5 was left blank.|Automated Underwriting System: 1; Automated Underwriting System: 2; Automated Underwriting System: 3; Automated Underwriting System: 4; Automated Underwriting System: 5; Automated Underwriting System: Conditional Free Form Text Field for Code 5
V702-2|The Automated Underwriting System: Conditional Free Form Text Field for Code 5 was reported, but Code 5 was not reported in Automated Underwriting System: 1; Automated Underwriting System: 2; Automated Underwriting System: 3; Automated Underwriting System: 4; or Automated Underwriting System: 5.|Automated Underwriting System: 1; Automated Underwriting System: 2; Automated Underwriting System: 3; Automated Underwriting System: 4; Automated Underwriting System: 5; Automated Underwriting System: Conditional Free Form Text Field for Code 5
V703-1|Automated Underwriting System Result: 1; Automated Underwriting System Result: 2; Automated Underwriting System Result: 3; Automated Underwriting System Result: 4; or Automated Underwriting System Result: 5 was reported Code 16: Other. However, the Automated Underwriting System Result: Conditional Free Form Text Field for Code 16 was left blank.|Automated Underwriting System Result: 1; Automated Underwriting System Result: 2; Automated Underwriting System Result: 3; Automated Underwriting System Result: 4; Automated Underwriting System Result: 5; Automated Underwriting System Result: Conditional Free Form Text Field for Code 16
V703-2|The Automated Underwriting System Result: Conditional Free Form Text Field for Code 16 was reported, but Code 16 was not reported in Automated Underwriting System Result: 1; Automated Underwriting System Result: 2; Automated Underwriting System Result: 3; Automated Underwriting System Result: 4; or Automated Underwriting System Result: 5.|Automated Underwriting System Result: 1; Automated Underwriting System Result: 2; Automated Underwriting System Result: 3; Automated Underwriting System Result: 4; Automated Underwriting System Result: 5; Automated Underwriting System Result: Conditional Free Form Text Field for Code 16
V704-1|If Action Taken equals 6, then Automated Underwriting System: 1 must equal 6.|Action Taken; Automated Underwriting System: 1; Automated Underwriting System Result: 1
V704-2|If Action Taken equals 6, then Automated Underwriting System Result: 1 must equal 1111 or 17.|Action Taken; Automated Underwriting System: 1; Automated Underwriting System Result: 1
V705-1|If Ethnicity of Applicant or Borrower: 1 equals 4; and Race of Applicant or Borrower: 1 equals 7; and Sex of Applicant or Borrower equals 4 indicating the applicant is a non-natural person; and the Ethnicity of Co-Applicant or Co-Borrower: 1 equals 5; and Race of Co-Applicant or Co-Borrower: 1 equals 8; and Sex of Co-Applicant or Co-Borrower equals 5 indicating that there is no co-applicant or co-borrower, then Automated Underwriting System: 1 must equal 1111 or 6; and Automated Underwriting System Result: 1 must equal 1111 or 17.|Automated Underwriting System: 1; Automated Underwriting System Result: 1; Ethnicity of Applicant or Borrower: 1; Race of Applicant or Borrower: 1; Sex of Applicant or Borrower; Ethnicity of Co-Applicant or Co-Borrower: 1; Race of Co-Applicant or Co-Borrower: 1; Sex of Co-Applicant or Co-Borrower
V705-2|If the Ethnicity of Applicant or Borrower: 1 equals 4; and Race of Applicant or Borrower: 1 equals 7; and Sex of Applicant or Borrower equals 4 indicating the applicant or borrower is a non-natural person; and Ethnicity of Co-Applicant or Co-Borrower: 1 equals 4; and Race of Co-Applicant or Co-Borrower: 1 equals 7; and Sex of Co-Applicant or Co-Borrower equals 4 indicating that the co-applicant or co-borrower is also a non-natural person, then Automated Underwriting System: 1 must equal 1111 or 6; and Automated Underwriting System Result: 1 must equal 1111 or 17.|Automated Underwriting System: 1; Automated Underwriting System Result: 1; Ethnicity of Applicant or Borrower: 1; Race of Applicant or Borrower: 1; Sex of Applicant or Borrower; Ethnicity of Co-Applicant or Co-Borrower: 1; Race of Co-Applicant or Co-Borrower: 1; Sex of Co-Applicant or Co-Borrower
V706|Reverse Mortgage must equal 1111, 1 or 2, and cannot be left blank.|Reverse Mortgage
V707|Open-End Line of Credit must equal 1111, 1, or 2, and cannot be left blank.|Open-End Line of Credit
V708|Business or Commercial Purpose must equal 1111, 1 or 2, and cannot be left blank.|Business or Commercial Purpose
V709|If the Street Address, City, or Zip Code is reported Exempt, then all three must be reported Exempt.|Street Address; City; Zip Code
V710|If the Credit Score exemption election is taken, Credit Score of Applicant or Borrower, Credit Score of Co-Applicant or Co-Borrower, Applicant or Borrower, Name and Version of Credit Scoring Model, and Co-Applicant or Co-Borrower, Name and Version of Credit Scoring Model must be reported 1111; and Applicant or Borrower, Name and Version of Credit Scoring Model: Conditional Free Form Text Field for Code 8 and Co-Applicant or Co-Borrower, Name and Version of Credit Scoring Model: Conditional Free Form Text Field for Code 8 must be left blank.|Credit Score of Applicant or Borrower; Credit Score of Co-Applicant or Co-Borrower; Applicant or Borrower, Name and Version of Credit Scoring Model; Applicant or Borrower, Name and Version of Credit Scoring Model: Conditional Free Form Text Field for Code 8; Co-Applicant or Co-Borrower, Name and Version of Credit Scoring Model; Co-Applicant or Co-Borrower, Name and Version of Credit Scoring Model: Conditional Free Form Text Field for Code 8
V711|If the Reason for Denial exemption election is taken, Reason for Denial: 1 must be reported 1111; and Reason for Denial 2, Reason for Denial 3, Reason for Denial 4, and Reason for Denial: Conditional Free Form Text Field for Code 9 must be left blank.|Reason for Denial: 1; Reason for Denial: 2; Reason for Denial: 3; Reason for Denial: 4; Reason for Denial: Conditional Free Form Text Field for Code 9
V712|If the Total Loan Costs or Total Points and Fees exemption election is taken, Total Loan Costs and Total Points and Fees must be reported Exempt.|Total Loan Costs; Total Points and Fees
V713|If the Automated Underwriting System exemption election is taken, Automated Underwriting System: 1 and Automated Underwriting System Result: 1 must be reported 1111; and Automated Underwriting System: 2, Automated Underwriting System: 3, Automated Underwriting System: 4, Automated Underwriting System: 5, Automated Underwriting System: Conditional Free Form Text Field for Code 5, Automated Underwriting System Result: 2, Automated Underwriting System Result: 3, Automated Underwriting System Result: 4, Automated Underwriting System Result: 5, and Automated Underwriting System Result: Conditional Free Form Text Field for Code 16 must be left blank.|Automated Underwriting System: 1; Automated Underwriting System: 2; Automated Underwriting System: 3; Automated Underwriting System: 4; Automated Underwriting System: 5; Automated Underwriting System: Conditional Free Form Text Field for Code 5; Automated Underwriting System Result: 1; Automated Underwriting System Result: 2; Automated Underwriting System Result: 3; Automated Underwriting System Result: 4; Automated Underwriting System Result: 5; Automated Underwriting System Result: Conditional Free Form Text Field for Code 16
V714|If the Application Channel exemption election is taken, Submission of Application and Initially Payable to Your Institution must be reported 1111.|Submission of Application; Initially Payable to Your Institution
V715|If the Non-Amortizing Features exemption election is taken, Balloon Payment, Interest-Only Payments, Negative Amortization and Other Non-amortizing Features must be reported 1111.|Balloon Payment; Interest-Only Payments; Negative Amortization; Other Non-amortizing Features
V716|The reported State and County are not a valid combination. If neither State nor County were reported NA, then the County must be located within the State.|County; State
V717|An invalid Contact Person’s Email Address was provided. Please review the information below and update your file accordingly.|Contact Person's E-mail Address
Q600|A duplicate ULI or NULI was reported.|Universal Loan Identifier (ULI)
Q600-warning|There are rows in your data that have a duplicate ULI, LEI, Action Taken, and Action Taken Date. This edit logic will be changed in 2021 and become a Syntactical edit, unable to be bypassed until corrected.|Universal Loan Identifier (ULI).
Q601|Application Date occurs more than two years prior to Action Taken Date.|Application Date; Action Taken Date
Q602|Street Address was reported NA, however City, State and Zip Code were provided.|Street Address; City; State; Zip Code
Q603|The County has a population of greater than 30,000 according to the most recent decennial census and was not reported NA; however Census Tract was reported NA.|County; Census Tract
Q604|The reported State and County are not a valid combination. If neither State nor County were reported NA, then the County must be located within the State.|County; State
Q605-1|If Type of Purchaser equals 1 or 3, then Loan Type generally should equal 1.|Type of Purchaser; Loan Type
Q605-2|If Type of Purchaser equals 2, then Loan Type generally should equal 2, 3 or 4.|Type of Purchaser; Loan Type
Q606|If Income is a number, then it generally should be less than $10 million (entered as 10000).|Income
Q607|If Lien Status equals 2, then Loan Amount generally should be less than or equal to $250 thousand (entered as 250000).|Loan Amount; Lien Status
Q608|If Action Taken equals 1, then the Action Taken Date generally should occur after the Application Date.|Action Taken; Action Taken Date; Application Date
Q609|If Type of Purchaser equals 1, 2, 3 or 4, then Rate Spread generally should be less than or equal to 10%, Exempt, or NA.|Type of Purchaser; Rate Spread
Q610|If Action Taken equals 1, Lien Status equals 1, and Rate Spread is greater than 6.5%, then HOEPA Status generally should be 1.|Action Taken; Lien Status; Rate Spread; HOEPA Status
Q611|If Action Taken equals 1, Lien Status equals 2, and Rate Spread is greater than 8.5%, then HOEPA Status generally should be 1.|Action Taken; Lien Status; Rate Spread; HOEPA Status
Q612|If Type of Purchaser equals 1 or 3, then HOEPA Status generally should be 2 or 3.|Type of Purchaser; HOEPA Status
Q613|If Business or Commercial Purpose equals 1, then Loan Purpose generally should equal 1, 2, 31, 32, or 5.|Business or Commercial Purpose; Loan Purpose
Q614-1|The Age of Applicant or Borrower generally should be between 18 and 100 unless the Age of Applicant or Borrower is reported 8888 indicating NA. Your data indicates a number outside of this range.|Universal Loan Identifier (ULI); Age of Applicant or Borrower
Q614-2|The Age of Co-Applicant or Co-Borrower generally should be between 18 and 100 unless the Age of Co-Applicant or Co-Borrower is reported 8888 indicating NA or 9999 indicating no co-applicant or co-borrower. Your data indicates a number outside of this range.|Universal Loan Identifier (ULI); Age of Co-Applicant or Co-Borrower
Q615-1|If Total Loan Costs and Origination Charges are not reported Exempt or NA, then Total Loan Costs generally should be greater than Origination Charges.|Origination Charges; Total Loan Costs; Total Points and Fees
Q615-2|If Total Points and Fees and Origination Charges are not reported Exempt or NA, then Total Points and Fees generally should be greater than Origination Charges.|Origination Charges; Total Loan Costs; Total Points and Fees
Q616-1|If Total Loan Costs and Discount Points are not reported Exempt or NA, then Total Loan Costs generally should be greater than Discount Points.|Discount Points; Total Loan Costs; Total Points and Fees
Q616-2|If Total Points and Fees and Discount Points are not reported Exempt or NA, then Total Points and Fees generally should be greater than Discount Points.|Discount Points; Total Loan Costs; Total Points and Fees
Q617|If Loan Type equals 1 and Combined Loan-to-Value Ratio and Property Value are not reported NA or Exempt, then the Combined Loan-to Value Ratio generally should be greater than or equal to the Loan to-Value Ratio (calculated as Loan Amount divided by the Property Value).|Combined Loan-to-Value Ratio; Loan Amount; Property Value
Q618|If Construction Method equals 2, then Manufactured Home Secured Property Type generally should not be 3.|Construction Method; Manufactured Home Secured Property Type
Q619|If Construction Method equals 2, then Manufactured Home Land Property Interest generally should not be 5.|Construction Method; Manufactured Home Land Property Interest
Q620|If Business or Commercial Purpose equals 2, then NMLSR ID generally should not be NA.|Business or Commercial Purpose; NMLSR ID
Q621|The NMLSR ID should be alphanumeric up to 12 characters. Your data indicates a value outside of this range.|NMLSR ID
Q622|If Reverse Mortgage equals 1, then the Age of Applicant or Borrower generally should be greater than or equal to 62. Your data indicates a number outside this range.|Reverse Mortgage; Age of Applicant or Borrower
Q623|If Total Units is less than or equal to 4, and Income is less than or equal to $200,000 (reported as 200), then Loan Amount generally should be less than $2,000,000 (reported as 2000000).|Loan Amount; Total Units; Income
Q624|If Loan Type equals 2, and Total Units equals 1, then Loan Amount generally should be less than or equal to $637,000 (reported as 637000).|Loan Type; Total Units; Loan Amount
Q625|If Loan Type equals 3, and Total Units is less than or equal to 4, then Loan Amount generally should be less than or equal to $1,050,000 (reported as 1050000).|Loan Type; Total Units; Loan Amount
Q626|If Type of Purchaser equals 1, 2, 3, or 4, and Total Units is less than or equal to 4, then Loan Amount generally should be less than or equal to $1,225,000 (reported as 1225000).|Type of Purchaser; Total Units; Loan Amount
Q627|If Total Units is greater than or equal to 5, then Loan Amount generally should be between $100,000 (reported as 100000) and $10,000,000 (reported as 10000000).|Total Units; Loan Amount
Q628|If Loan Purpose equals 1, and Total Units is less than or equal to 4, then Loan Amount generally should be greater than $10,000 (reported as 10000).|Loan Purpose; Loan Amount; Total Units
Q629|If Action Taken equals 1, 2, 3, 4, 5, 7, or 8, and Total Units is less than or equal to 4, and Loan Purpose equals 1, 2 or 4, then Income generally should not be NA.|Action Taken; Total Units; Loan Purpose; Income
Q630|If Total Units is greater than or equal to 5, then HOEPA Status generally should equal 3.|Total Units; HOEPA Status
Q631|If Loan Type equals 2, 3 or 4, then Total Units generally should be less than or equal to 4.|Loan Type; Total Units
Q632|If Automated Underwriting System: 1; Automated Underwriting System: 2; Automated Underwriting System: 3; Automated Underwriting System: 4; or Automated Underwriting System: 5 equals 3, then the corresponding Automated Underwriting System Result: 1; Automated Underwriting System Result: 2; Automated Underwriting System Result: 3; Automated Underwriting System Result: 4; or Automated Underwriting System Result: 5 should equal  1, 2, 3, 4, 8, 13, 18, 19 or 16.|Automated Underwriting System: 1; Automated Underwriting System: 2; Automated Underwriting System: 3; Automated Underwriting System: 4; Automated Underwriting System: 5; Automated Underwriting System Result: 1; Automated Underwriting System Result: 2; Automated Underwriting System Result: 3; Automated Underwriting System Result: 4; Automated Underwriting System Result: 5
Q633|If Automated Underwriting System: 1; Automated Underwriting System: 2; Automated Underwriting System: 3; Automated Underwriting System: 4; or Automated Underwriting System: 5 equals 4, then the corresponding Automated Underwriting System Result: 1; Automated Underwriting System Result: 2; Automated Underwriting System Result: 3; Automated Underwriting System Result: 4; or Automated Underwriting System Result: 5 should equal 3, 4, 10, 15, 18, 19, 20, 21, 22, 23, 24 or 16.|Automated Underwriting System: 1; Automated Underwriting System: 2; Automated Underwriting System: 3; Automated Underwriting System: 4; Automated Underwriting System: 5; Automated Underwriting System Result: 1; Automated Underwriting System Result: 2; Automated Underwriting System Result: 3; Automated Underwriting System Result: 4; Automated Underwriting System Result: 5
Q634|If more than 25 loans reported Action Taken equals 1 and Loan Purpose equals 1, then the number of these loans should be less than or equal to 95% of the loans reported with Loan Purpose equals 1. Your data indicates a percentage outside of this range.|Action Taken; Loan Purpose
Q635|No more than 15% of the loans in the file should report Action Taken equals 2. Your data indicates a percentage outside of this range.|Action Taken; Total Number of Entries Contained in Submission
Q636|No more than 30% of the loans in the file should report Action Taken equals 4. Your data indicates a percentage outside of this range.|Action Taken; Total Number of Entries Contained in Submission
Q637|No more than 15% of the loans in the file should report Action Taken equals 5. Your data indicates a percentage outside of this range.|Action Taken; Total Number of Entries Contained in Submission
Q638|The number of loans in the file that reported Action Taken equals 1 should be greater than or equal to 20% of the total number of loans that reported Action Taken 1, 2, 3, 4, 5, or 6. Your data indicates a percentage outside of this range.|Action Taken
Q639|If more than 1000 loans were reported with Preapproval equals 1, then there should be at least 1 loan reported with Action Taken equals 7. Your data indicates a number outside of this range.|Action Taken; Preapproval
Q640|No more than 20% of the loans in the file should report Income less than $10 thousand (entered as 10). Your data indicates a percentage outside of this range.|Income; Total Number of Entries Contained in Submission
Q642-1|If Credit Score of Applicant or Borrower equals 7777 indicating a credit score that is not a number, then Applicant or Borrower, Name and Version of Credit Scoring Model should equal 7 or 8.|Credit Score of Applicant or Borrower; Applicant or Borrower, Name and Version of Credit Scoring Model; Credit Score of Co-Applicant or Co-Borrower; Co-Applicant or Co-Borrower, Name and Version of Credit Scoring Model
Q642-2|If Credit Score of Co-Applicant or Co-Borrower equals 7777 indicating a credit score that is not a number, then Co-Applicant or Co-Borrower, Name and Version of Credit Scoring Model should equal 7 or 8.|Credit Score of Applicant or Borrower; Applicant or Borrower, Name and Version of Credit Scoring Model; Credit Score of Co-Applicant or Co-Borrower; Co-Applicant or Co-Borrower, Name and Version of Credit Scoring Model
Q643|If Automated Underwriting System: 1, Automated Underwriting System: 2; Automated Underwriting System: 3; Automated Underwriting System: 4; or Automated Underwriting System: 5 equals 1, then the corresponding Automated Underwriting System Result: 1; Automated Underwriting System Result: 2; Automated Underwriting System Result: 3; Automated Underwriting System Result: 4; or Automated Underwriting System Result: 5 should equal 1, 2, 3, 4, 5, 6, 7, 15, or 16.|Automated Underwriting System: 1; Automated Underwriting System: 2; Automated Underwriting System: 3; Automated Underwriting System: 4; Automated Underwriting System: 5; Automated Underwriting System Result: 1; Automated Underwriting System Result: 2; Automated Underwriting System Result: 3; Automated Underwriting System Result: 4; Automated Underwriting System Result: 5
Q644|If Automated Underwriting System: 1; Automated Underwriting System: 2; Automated Underwriting System: 3; Automated Underwriting System: 4; or Automated Underwriting System: 5 equals 2, then the corresponding Automated Underwriting System Result: 1; Automated Underwriting System Result: 2; Automated Underwriting System Result: 3; Automated Underwriting System Result: 4; or Automated Underwriting System Result: 5 should equal 8, 9, 10, 11, 12, 13, or 16.|Automated Underwriting System: 1; Automated Underwriting System: 2; Automated Underwriting System: 3; Automated Underwriting System: 4; Automated Underwriting System: 5; Automated Underwriting System Result: 1; Automated Underwriting System Result: 2; Automated Underwriting System Result: 3; Automated Underwriting System Result: 4; Automated Underwriting System Result: 5
Q645-1|Loan Amount should generally be greater than or equal to $500 (reported as 500).|Loan Amount
Q645-2|If Loan Purpose equals 1, then Loan Amount should generally be greater than or equal to $1,000 (reported as 1000)|Loan Amount
Q646|Your file indicates that at least one exemption code was used. Please verify that your institution is eligible for a partial exemption pursuant to the 2018 HMDA Rule.|
Q647|If Federal Agency equals 7, indicating a non-depository institution, exemption codes should not be used in the Loan/Application Register. Your data indicates that at least one exemption code was used.|
Q648|If Action Taken equals 1, 2, 3, 4, 5, 7, or 8, the first 20 characters of the ULI should match the reported LEI.|Action Taken; Legal Entity Identifier (LEI)
Q649-1|If Credit Score of Applicant or Borrower does not equal 7777, 8888, or 1111, Credit Score should generally be between 300 and 900.|Credit Score of Applicant or Borrower;
Q649-2|If Credit Score of Co-Applicant or Co-Borrower does not equal 7777, 8888, 9999, or 1111, Credit Score should generally be between 300 and 900.|Credit Score of Co-Applicant or Co-Borrower;
Q650|The Interest Rate reported is greater than 0 but less than 0.5, which may indicate a misplaced decimal point.|Interest Rate
Q651|The CLTV reported is greater than 0 but less than 1, which may indicate a misplaced decimal point.|Combined Loan-to-Value Ratio
Q652|The DTI reported is greater than 0 but less than 1, which may indicate a misplaced decimal point.|Debt-to-Income Ratio
Q653-1|If Action Taken equals 1, 2, or 8, the CLTV should generally be between 0 and 250.|Action Taken; Combined Loan-to-Value Ratio
Q653-2|If Action Taken equals 3, 4, 5, 6, or 7, the CLTV should generally be between 0 and 1,000.|Action Taken; Combined Loan-to-Value Ratio
Q654|If Income is greater than $5,000 (reported as 5) and Action Taken equals 1, 2, or 8, the DTI should generally be between 0 and 80.|Debt-to-Income Ratio; Income; Action Taken
